"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\App.css", "CSS", 127, 0, 7, 25, 159
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\App.js", "JavaScript", 0, 22, 0, 2, 24
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Components\Navbar.css", "CSS", 120, 0, 0, 14, 134
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Components\Navbar.js", "JavaScript", 0, 36, 0, 2, 38
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Components\ResumeItem.js", "JavaScript", 0, 23, 0, 2, 25
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Components\Stats.js", "JavaScript", 0, 22, 0, 2, 24
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Components\info.js", "JavaScript", 0, 18, 0, 2, 20
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Components\skills.js", "JavaScript", 0, 25, 0, 2, 27
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\About\About.css", "CSS", 175, 0, 0, 27, 202
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\About\About.js", "JavaScript", 0, 72, 0, 3, 75
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\Contact\Contact.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\Contact\Contact.js", "JavaScript", 0, 11, 0, 2, 13
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\HomeContent\Home.css", "CSS", 43, 0, 0, 6, 49
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\HomeContent\Home.js", "JavaScript", 0, 36, 0, 3, 39
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\Portfolio\Portfolio.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\Portfolio\Portfolio.js", "JavaScript", 0, 11, 0, 2, 13
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\data.js", "JavaScript", 0, 430, 0, 51, 481
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\index.css", "CSS", 8, 0, 0, 1, 9
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\index.js", "JavaScript", 0, 10, 0, 3, 13
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\info.js", "JavaScript", 0, 181, 0, 26, 207
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 2, 14
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\setupTests.js", "JavaScript", 0, 1, 4, 1, 6
"Total", "-", 473, 910, 11, 180, 1574
