"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\App.css", "CSS", 3, 0, 0, 0, 0, 3
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Assets\close.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Assets\github.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Components\Navbar.css", "CSS", 1, 0, 0, 0, 0, 1
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Components\PortfolioItem.js", "JavaScript", 0, 41, 0, 0, 3, 44
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Components\info.js", "JavaScript", 0, 9, 0, 0, 1, 10
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\About\About.css", "CSS", 5, 0, 0, 0, 0, 5
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\Contact\Contact.css", "CSS", 95, 0, 0, 0, 14, 109
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\Contact\Contact.js", "JavaScript", 0, 87, 0, 0, -2, 85
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\HomeContent\Home.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\Portfolio\Portfolio.css", "CSS", 106, 0, 0, 0, 16, 122
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\Pages\Portfolio\Portfolio.js", "JavaScript", 0, 9, 0, 0, 0, 9
"c:\Users\Vedansh\OneDrive\Documents\KIIT Course\Programming\Web_dev\my-portfolio\src\info.js", "JavaScript", 0, 188, 0, 0, 8, 196
"Total", "-", 210, 335, 2, 0, 40, 587
